Binomial,Year,cwl,Body_mass.g.,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2013,84,24,,-49.405145,-28.599546
Trichothraupis_melanops,2003,,24,,-48.541493,-25.587558
Trichothraupis_melanops,2000,,26.5,7.2,-48.416666,-24.316666
Trichothraupis_melanops,2000,,19.5,8,-48.416666,-24.316666
Trichothraupis_melanops,2016,81,,,-47.245302,-24.06865
Trichothraupis_melanops,2008,81,24,5.3,-48.054843,-20.091019
Trichothraupis_melanops,2006,,22,,-41.003333,-20.4
Trichothraupis_melanops,2000,,25,,-48.416666,-24.316666
Trichothraupis_melanops,2002,84,24,,-48.541493,-25.587558
Trichothraupis_melanops,2005,,24,,-47.452334,-23.920014
Trichothraupis_melanops,2005,,,,-47.410015,-23.951935
Trichothraupis_melanops,2006,,25,,-47.469706,-23.918526
Trichothraupis_melanops,2005,,28.5,,-47.449741,-23.843869
Trichothraupis_melanops,2006,81,26,,-48.541493,-25.587558
Trichothraupis_melanops,2017,80,,,-47.245302,-24.06865
Trichothraupis_melanops,2005,,,,-47.377344,-23.957743
Trichothraupis_melanops,2014,73,21,6.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2012,,23.75,,-47.57926,-22.34485
Trichothraupis_melanops,2000,,22,6.5,-48.416666,-24.316666
Trichothraupis_melanops,2004,82.4,24,,-48.541493,-25.587558
Trichothraupis_melanops,2000,,25.5,7.7,-48.416666,-24.316666
Trichothraupis_melanops,2017,76.15,26.5,,-48.673631,-25.304749
Trichothraupis_melanops,2013,75,22,7.1,-41.74221111,-20.49504444
Trichothraupis_melanops,2016,78,,,-47.245302,-24.06865
Trichothraupis_melanops,2012,,20,,-50.6967,-24.1431
Trichothraupis_melanops,2006,,25,,-47.460382,-23.851281
Trichothraupis_melanops,2006,88,22.1,,-48.46,-23.29
Trichothraupis_melanops,2006,,26.5,,-47.460382,-23.851281
Trichothraupis_melanops,2005,,22.5,,-47.410015,-23.951935
Trichothraupis_melanops,2006,,14.7,,-47.452334,-23.920014
Trichothraupis_melanops,1996,84,26,,-44.204194,-23.183073
Trichothraupis_melanops,2009,81,25,,-48.541493,-25.587558
Trichothraupis_melanops,2017,85,21,5.6,-41.84374722,-20.41793889
Trichothraupis_melanops,1995,82,24.5,,-42.304444,-22.544028
Trichothraupis_melanops,2010,,22.5,,-46.016667,-23.033333
Trichothraupis_melanops,2004,,23,,-43.75,-20.85
Trichothraupis_melanops,2012,76,23.5,9.45,-47.949986,-24.16386
Trichothraupis_melanops,2001,,24,,-48.416666,-24.316666
Trichothraupis_melanops,2010,81,25,,-48.541493,-25.587558
Trichothraupis_melanops,2011,72.1,22,,-54.487792,-25.619635
Trichothraupis_melanops,2005,,21,,-47.446516,-23.833638
Trichothraupis_melanops,2014,79.09,26.09,7.16,-48.34105,-25.14759
Trichothraupis_melanops,2007,,28.5,,-47.460382,-23.851281
Trichothraupis_melanops,2000,,26,8.5,-48.416666,-24.316666
Trichothraupis_melanops,2005,84,24,,-46.028,-22.977
Trichothraupis_melanops,2015,85,25,7.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2006,82,22,,-48.46,-23.29
Trichothraupis_melanops,2000,,20,8.5,-48.416666,-24.316666
Trichothraupis_melanops,2001,81.8,17,,-48.541493,-25.587558
Trichothraupis_melanops,2013,77,23,7.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2015,85,20.5,7.6,-41.02029722,-20.39838889
Trichothraupis_melanops,2010,84.2,24,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,24,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,25.5,,-47.48322,-23.886254
Trichothraupis_melanops,2007,,21.5,,-47.377344,-23.957743
Trichothraupis_melanops,2010,75,19,,-46.016667,-23.033333
Trichothraupis_melanops,2002,80,23,,-45.427917,-23.593222
Trichothraupis_melanops,2014,70,32,9,-41.74221111,-20.49504444
Trichothraupis_melanops,2017,78,26,,-48.675863,-25.301518
Trichothraupis_melanops,2014,78,26,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,21,8,-48.40777778,-24.278333
Trichothraupis_melanops,1996,82,24,7.4,-44.204194,-23.183073
Trichothraupis_melanops,2017,79,27,,-48.541493,-25.587558
Trichothraupis_melanops,2016,80,21,,-49.672487,-22.37698
Trichothraupis_melanops,2017,78.45,21.5,,-48.673631,-25.304749
Trichothraupis_melanops,2010,79,,,-48.433333,-23.266667
Trichothraupis_melanops,2017,80.35,24.1,,-48.658873,-25.291068
Trichothraupis_melanops,2017,81.35,27,,-48.681405,-25.29377
Trichothraupis_melanops,1996,84,25,6.6,-44.204194,-23.183073
Trichothraupis_melanops,2012,,27,,-47.949986,-24.16386
Trichothraupis_melanops,2008,83.5,24,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,32,,-41.003333,-20.4
