Binomial,Year,cwl,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2000,,8,-48.416666,-24.316666
Trichothraupis_melanops,2016,81,,-47.245302,-24.06865
Trichothraupis_melanops,2008,81,5.3,-48.054843,-20.091019
Trichothraupis_melanops,2006,,,-41.003333,-20.4
Trichothraupis_melanops,2000,,,-48.416666,-24.316666
Trichothraupis_melanops,2002,84,,-48.541493,-25.587558
Trichothraupis_melanops,2005,,,-47.452334,-23.920014
Trichothraupis_melanops,2005,,,-47.410015,-23.951935
Trichothraupis_melanops,2006,,,-47.469706,-23.918526
Trichothraupis_melanops,2005,,,-47.449741,-23.843869
Trichothraupis_melanops,2006,81,,-48.541493,-25.587558
Trichothraupis_melanops,2017,80,,-47.245302,-24.06865
Trichothraupis_melanops,2005,,,-47.377344,-23.957743
Trichothraupis_melanops,2014,73,6.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2012,,,-47.57926,-22.34485
Trichothraupis_melanops,2000,,6.5,-48.416666,-24.316666
Trichothraupis_melanops,2004,82.4,,-48.541493,-25.587558
Trichothraupis_melanops,2000,,7.7,-48.416666,-24.316666
Trichothraupis_melanops,2017,76.15,,-48.673631,-25.304749
Trichothraupis_melanops,2013,75,7.1,-41.74221111,-20.49504444
Trichothraupis_melanops,2016,78,,-47.245302,-24.06865
Trichothraupis_melanops,2012,,,-50.6967,-24.1431
Trichothraupis_melanops,2006,,,-47.460382,-23.851281
Trichothraupis_melanops,2006,88,,-48.46,-23.29
Trichothraupis_melanops,2006,,,-47.460382,-23.851281
Trichothraupis_melanops,2005,,,-47.410015,-23.951935
Trichothraupis_melanops,2006,,,-47.452334,-23.920014
Trichothraupis_melanops,1996,84,,-44.204194,-23.183073
Trichothraupis_melanops,2009,81,,-48.541493,-25.587558
Trichothraupis_melanops,2017,85,5.6,-41.84374722,-20.41793889
Trichothraupis_melanops,1995,82,,-42.304444,-22.544028
Trichothraupis_melanops,2010,,,-46.016667,-23.033333
Trichothraupis_melanops,2004,,,-43.75,-20.85
Trichothraupis_melanops,2012,76,9.45,-47.949986,-24.16386
Trichothraupis_melanops,2001,,,-48.416666,-24.316666
Trichothraupis_melanops,2010,81,,-48.541493,-25.587558
Trichothraupis_melanops,2011,72.1,,-54.487792,-25.619635
Trichothraupis_melanops,2005,,,-47.446516,-23.833638
Trichothraupis_melanops,2014,79.09,7.16,-48.34105,-25.14759
Trichothraupis_melanops,2007,,,-47.460382,-23.851281
Trichothraupis_melanops,2000,,8.5,-48.416666,-24.316666
Trichothraupis_melanops,2005,84,,-46.028,-22.977
Trichothraupis_melanops,2015,85,7.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2006,82,,-48.46,-23.29
Trichothraupis_melanops,2000,,8.5,-48.416666,-24.316666
Trichothraupis_melanops,2001,81.8,,-48.541493,-25.587558
Trichothraupis_melanops,2013,77,7.7,-41.84374722,-20.41793889
Trichothraupis_melanops,2015,85,7.6,-41.02029722,-20.39838889
Trichothraupis_melanops,2010,84.2,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,,-47.48322,-23.886254
Trichothraupis_melanops,2007,,,-47.377344,-23.957743
Trichothraupis_melanops,2010,75,,-46.016667,-23.033333
Trichothraupis_melanops,1993,,,-49.083333,-27.05
Trichothraupis_melanops,2002,80,,-45.427917,-23.593222
Trichothraupis_melanops,2014,70,9,-41.74221111,-20.49504444
Trichothraupis_melanops,2009,80,8.3,-46.45,-23.366667
Trichothraupis_melanops,2017,78,,-48.675863,-25.301518
Trichothraupis_melanops,2004,78,7.88,-46.316667,-23.783333
Trichothraupis_melanops,2014,78,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,8,-48.40777778,-24.278333
Trichothraupis_melanops,1996,82,7.4,-44.204194,-23.183073
Trichothraupis_melanops,2017,79,,-48.541493,-25.587558
Trichothraupis_melanops,2016,80,,-49.672487,-22.37698
Trichothraupis_melanops,2017,78.45,,-48.673631,-25.304749
Trichothraupis_melanops,2002,78,8.09,-48.566667,-23.716667
Trichothraupis_melanops,2005,80,8.04,-48.566667,-23.716667
Trichothraupis_melanops,2010,79,,-48.433333,-23.266667
Trichothraupis_melanops,2017,80.35,,-48.658873,-25.291068
Trichothraupis_melanops,2017,81.35,,-48.681405,-25.29377
Trichothraupis_melanops,1996,84,6.6,-44.204194,-23.183073
Trichothraupis_melanops,2012,,,-47.949986,-24.16386
Trichothraupis_melanops,2008,83.5,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,,-41.003333,-20.4
Trichothraupis_melanops,2002,84,,-45.427917,-23.593222
Trichothraupis_melanops,1991,77,7.32,-47.833333,-24.183333
Trichothraupis_melanops,1991,71,7.36,-47.833333,-24.183333
