quantity,pct_per_decade,lower,upper,p_neg,N,n_trees
wing,-0.73437462219883,-1.80301430117346,0.369057453802624,0.9092,7070,20
expected_isometric_mass,-2.1869842892949,-5.31210322122323,1.11126349022224,0.9092,7070,20
mass,-0.294240952017544,-1.99466342402836,1.43968288006529,0.630675,7070,20
contrast,2.34724124306123,-0.460641120866256,5.22176886845909,0.0502,7070,20
contrast_parsimonious,2.46287503620164,-0.399494636839393,5.41079607484896,0.046175,7070,20
