model,label,term,estimate,se,ci_lo,ci_hi,t,N,n_spp,n_src,n_site,n_ind,sample,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,pct_per_decade,singular,convergence_msg
M5src_rsTotal_cc,M5src with the species random slope on total scaled_yr,yr_within_src,-0.260510242611699,0.183749332498536,-0.620658934308829,0.0996384490854306,-1.41774796713221,8282,72,42,126,7595,w_cc,-0.518952448140997,-1.23639082360474,0.198485927322745,-0.729590355912256,FALSE,""
M5src_rsTotal_cc,M5src with the species random slope on total scaled_yr,yr_src_mean,-0.986966014688496,0.649032305858226,-2.25906933417062,0.285137304793627,-1.52067317108879,8282,72,42,126,7595,w_cc,-1.96609708862002,-4.50020525003129,0.568011072791243,-2.76411736717465,FALSE,""
M7_cc,M7 = M3 on first (wing) captures only; no ring term (one record per individual),scaled_yr,-0.294881614046338,0.183033016114482,-0.653626325630722,0.0638630975380458,-1.6110842748824,7595,72,42,126,,w_first_cc,-0.587422336975872,-1.30206389758371,0.127219223631969,-0.825851527322582,FALSE,""
M3_longrun_cc,"M3 on the 6 long-running contributors (>= 8 yr, >= 200 wing records)",scaled_yr,-0.0240656903919495,0.173157844507443,-0.363455065626537,0.315323684842638,-0.138981231028867,2897,71,6,57,2806,w_long_cc,-0.0479403374696508,-0.724024875971105,0.628144201031804,-0.0673988686291603,FALSE,""
M_carrano,M3 without contributor term on E. Carrano's records alone (1996-2017) [ring term dropped: no repeated individuals] [wing_col dropped: single level],scaled_yr,-0.0292651079320389,0.120834730242018,-0.266101179206393,0.207570963342315,-0.242191196797679,1040,41,1,5,,w_carrano,-0.0582978974422868,-0.530089938184113,0.413494143299539,-0.0819604645786313,FALSE,""
M1_noanom,M1 without the flagged anomalous blocks,scaled_yr,-0.494537622307105,0.195134775259943,-0.877001781816594,-0.112073462797616,-2.53433874945314,8285,72,42,130,,w_noanom,-0.985149402269891,-1.74704156402831,-0.223257240511471,-1.38501225999333,FALSE,""
M3_noanom,M3 without the flagged anomalous blocks,scaled_yr,-0.427789833908802,0.193804259450276,-0.807646182431343,-0.0479334853862609,-2.20732936996444,8285,72,42,130,7603,w_noanom,-0.852183696775819,-1.60888093843283,-0.095486455118804,-1.19807702779035,FALSE,""
M5src_noanom,"M5src (within/between contributor, REWB) without the flagged anomalous blocks",yr_within_src,-0.411984426351686,0.295891417301489,-0.991931604262605,0.167962751559234,-1.39235003877083,8285,72,42,130,7603,w_noanom,-0.82069835146501,-1.97598884888293,0.334592145952913,-1.15381207755527,FALSE,""
M5src_noanom,"M5src (within/between contributor, REWB) without the flagged anomalous blocks",yr_src_mean,-1.1981926987482,0.426837336600786,-2.03479387848574,-0.361591519010655,-2.80714125968986,8285,72,42,130,7603,w_noanom,-2.38687365274489,-4.05343472915358,-0.720312576336199,-3.35568317301894,FALSE,""
M5src_rsTotal_noanom,M5src_rsTotal without the flagged anomalous blocks,yr_within_src,-0.373853816411983,0.19537659895532,-0.75679195036441,0.00908431754044431,-1.91350355370593,8285,72,42,130,7603,w_noanom,-0.744739827996077,-1.50757617603698,0.0180965200448209,-1.04702270529045,FALSE,""
M5src_rsTotal_noanom,M5src_rsTotal without the flagged anomalous blocks,yr_src_mean,-1.18194766538838,0.404377756049432,-1.97452806724526,-0.389367263531492,-2.92288002420167,8285,72,42,130,7603,w_noanom,-2.35451254575849,-3.93338152138369,-0.775643570133292,-3.31018699769788,FALSE,""
M6_m0,"unknown-sex records, M0 structure (no Sex)",scaled_yr,-0.0157527709705857,0.297526711248073,-0.59890512501681,0.567399583075638,-0.0529457368869689,3532,56,41,122,,u_all,-0.031380489988545,-1.19305589567519,1.1302949156981,-0.044117535125729,FALSE,""
M6_m1,"unknown-sex records, M1 structure (no Sex)",scaled_yr,-0.741108777805761,0.261066013345197,-1.25279816396235,-0.229419391649174,-2.83877923560208,3532,56,41,122,,u_all,-1.47633433037158,-2.49565110260893,-0.457017558134239,-2.07556452118063,FALSE,""
M6,M6 = M3 on unknown-sex records (no Sex),scaled_yr,-0.683943412008965,0.26100493708136,-1.19551308868843,-0.172373735329499,-2.62042327496574,3532,56,41,122,3320,u_all,-1.36245740088232,-2.38153570446832,-0.343379097296325,-1.91546601925837,FALSE,""
M6_cc,M6 on the complete-case unknown-sex sample,scaled_yr,-0.58193000724694,0.271774839052799,-1.11460869179043,-0.0492513227034548,-2.14122105370426,3430,54,41,119,3218,u_cc,-1.15924041557798,-2.22036916293555,-0.0981116682204199,-1.62976517486169,FALSE,""
