Longitude_decimal_degrees,Latitude_decimal_degrees,n_early,n_late,n_contrib,shared
-46.340917,-23.855861,0,57,1,FALSE
-46.305028,-23.883583,0,40,1,FALSE
-46.289722,-23.90525,0,46,1,FALSE
-46.233611,-23.956417,0,3,1,FALSE
-46.028,-22.977,26,0,1,FALSE
-46.02,-23.039,51,0,1,FALSE
-45.982,-23.633,66,0,1,FALSE
-45.427917,-23.593222,48,0,1,FALSE
-45.072347,-23.394822,0,1,1,FALSE
-44.850694,-23.358056,51,0,1,FALSE
-44.583333,-22.366667,1,0,1,FALSE
-44.204194,-23.183073,37,0,1,FALSE
-44.202778,-23.175,53,0,1,FALSE
-44.193483,-23.182683,17,0,1,FALSE
-44.191562,-23.188225,2,0,1,FALSE
-44.188333,-23.010833,0,9,1,FALSE
-44.120167,-22.990433,14,0,1,FALSE
-44.105278,-22.989722,0,3,1,FALSE
-43.790933,-22.372667,1,0,1,FALSE
-43.787333,-22.370933,19,0,1,FALSE
-43.5326,-23.0476,4,0,1,FALSE
-43.29155,-22.449367,9,0,1,FALSE
-42.98,-22.41,27,0,1,FALSE
-42.918417,-22.481667,3,0,1,FALSE
-42.874163,-22.961388,8,0,1,FALSE
-42.819081,-22.647121,0,4,1,FALSE
-42.807354,-22.660477,0,3,1,FALSE
-42.742133,-22.358133,2,0,1,FALSE
-42.737667,-22.4084,16,0,1,FALSE
-42.666531,-22.941347,0,1,1,FALSE
-42.611924,-22.933574,0,1,1,FALSE
-42.575483,-22.417983,3,0,1,FALSE
-42.512333,-22.439117,3,0,1,FALSE
-42.38333,-22.5,91,0,1,FALSE
-42.304444,-22.544028,15,0,1,FALSE
-42.292397,-22.937641,0,4,1,FALSE
-42.263883,-22.32395,6,0,1,FALSE
-42.247778,-22.5825,3,0,1,FALSE
-42.246111,-22.580503,4,0,1,FALSE
-42.238333,-22.859167,0,3,1,FALSE
-42.047183,-22.421778,0,26,1,FALSE
-42.0464,-22.54815,5,0,1,FALSE
-41.931636,-22.804856,0,1,1,FALSE
-41.919983,-21.878417,4,0,1,FALSE
-41.846883,-21.475533,1,0,1,FALSE
-41.84374722,-20.41793889,0,35,1,FALSE
-41.82306667,-20.49502778,0,6,1,FALSE
-41.74221111,-20.49504444,0,24,1,FALSE
-41.664975,-22.276078,6,0,1,FALSE
-41.662676,-22.2781,22,0,1,FALSE
-41.661133,-22.278133,4,0,1,FALSE
-41.031983,-21.735533,4,0,1,FALSE
-41.02029722,-20.39838889,0,14,1,FALSE
-40.970231,-21.232122,10,0,1,FALSE
-40.458369,-20.590869,0,21,1,FALSE
-40.4325,-20.629722,3,0,1,FALSE
-40.423752,-20.595417,0,1,1,FALSE
-40.423639,-20.596806,0,1,1,FALSE
-40.423333,-20.595861,0,1,1,FALSE
-40.423167,-20.596611,0,2,1,FALSE
-40.422194,-20.596194,0,3,1,FALSE
-40.416667,-20.586417,0,1,1,FALSE
-40.415583,-20.587667,0,1,1,FALSE
-40.410139,-20.586444,0,1,1,FALSE
-40.15262778,-19.03415833,0,15,1,FALSE
-40.114444,-19.015,0,2,1,FALSE
-39.746772,-18.708027,4,0,1,FALSE
-39.70974167,-18.42649444,0,2,1,FALSE
-39.5066,-15.800524,0,3,1,FALSE
-39.382412,-15.728039,0,1,1,FALSE
-39.375253,-15.985593,0,4,1,FALSE
-39.369574,-15.792944,0,2,1,FALSE
-39.354754,-15.866612,0,7,1,FALSE
-39.325003,-15.95209,0,2,1,FALSE
-39.243959,-15.818562,0,4,1,FALSE
-39.221283,-17.3042,1,0,1,FALSE
-39.195871,-15.349397,0,1,1,FALSE
-39.195235,-15.297331,0,2,1,FALSE
-39.14374,-15.209971,0,1,1,FALSE
-39.123508,-15.128903,0,8,1,FALSE
-39.1028,-16.65549,4,0,1,FALSE
-39.092127,-15.180325,0,5,1,FALSE
-39.089116,-15.258441,0,2,1,FALSE
-39.078058,-15.249721,0,2,1,FALSE
-35.746496,-6.968757,0,110,1,FALSE
-35.18,-5.92,0,34,1,FALSE
-35.177922,-6.725132,4,12,1,TRUE
-35.144167,-6.741389,0,30,1,FALSE
-35.139925,-6.741965,41,0,1,FALSE
-35.126,-6.700556,0,13,1,FALSE
-35.08559,-6.805421,0,17,1,FALSE
-34.95615,-7.988219,0,17,1,FALSE
-34.9532021832,-7.9964573463,0,73,1,FALSE
-34.9505362415,-8.0050982416,0,6,1,FALSE
-34.9445366915,-7.9938007267,0,65,1,FALSE
-34.9418676147,-8.0024407527,0,61,1,FALSE
-34.854425,-7.063873,0,4,1,FALSE
