model,term,estimate,ci_lo,ci_hi,N,n_trees,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi
M0,scaled_yr,-0.927647170468436,-1.42586392087267,-0.431792169283915,8478,20,-1.8479302974786,-2.84040874951593,-0.860156595347374
M3,scaled_yr,-0.369445507155703,-0.780474930663443,0.0477250062521394,8478,20,-0.735958204449241,-1.55475413143036,0.0950711518433771
