panel,group,diet_inv,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi
continuous,p10,10,-1.81248055054679,-3.04548438344326,-0.585397202925519
continuous,p50,50,-1.072054740362,-1.895619073904,-0.246277539455102
continuous,p90,100,-0.146522477631017,-1.3616017173053,1.10186037296046
category,Other,,-1.32112851061247,-2.38844764839751,-0.250790380281989
category,Invertebrate,,-0.55678131022418,-1.69546220765629,0.609317589797783
