ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
EH0064,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,5.5,11.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34292
PA0511,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,65,right,,14.5,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54008
WS0179,Haplospiza_unicolor,Thraupidae,Female,2012,12,DJF,64,generic,,16,G.Wilrich;E.Silva,Campo Belo do Sul,Gateados 2,-50.851889,-28.031444,831,,D121818
CF0830,Haplospiza_unicolor,Thraupidae,Male,2017,8,JJA,48.5,right,,16.1,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,no,F67413
PA0671,Haplospiza_unicolor,Thraupidae,Female,2006,3,MAM,66,right,,15.5,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,Yes,E67998
EH0573,Haplospiza_unicolor,Thraupidae,Female,2000,12,DJF,,,7,14,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43074
PA0523,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,61,right,,15,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54020
VC1948,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,65,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,E104732
VC0597,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,,,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98640
VC0910,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,,,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
FM0328,Haplospiza_unicolor,Thraupidae,Male,2013,1,DJF,,,,16.5,F.Santos,Piraquara,Mananciais da Serra,-48.992205,-25.49548,1202,,E114181
PC0412,Haplospiza_unicolor,Thraupidae,Male,2012,12,DJF,84,right,6.65,15,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D64426
CF0801,Haplospiza_unicolor,Thraupidae,Male,2017,6,JJA,48.5,right,,14.5,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,no,D77011
PA0724,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,64,right,,,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69496
PA0536,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,63,right,,16,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54033
MV0595,Haplospiza_unicolor,Thraupidae,Male,2013,7,JJA,62,generic,6.9,16,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D128339
CF0778,Haplospiza_unicolor,Thraupidae,Female,2017,5,MAM,48,right,,14.4,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,Yes,E177529
VC0534,Haplospiza_unicolor,Thraupidae,Male,2010,1,DJF,63,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98647
EH0048,Haplospiza_unicolor,Thraupidae,Female,2000,1,DJF,,,5.4,17,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33398
EH0580,Haplospiza_unicolor,Thraupidae,Female,2001,3,MAM,,,6.1,14,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
PA0510,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,62,right,,15,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54007
PA1092,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,65,right,,15.5,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,F03863
EC4539,Haplospiza_unicolor,Thraupidae,Male,2010,9,SON,66.4,right,,15,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 88156
CB2069,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,16,C.Banks-Leite,Piedade,,-47.48322,-23.886254,910,,E72894
PC0689,Haplospiza_unicolor,Thraupidae,Female,2013,5,MAM,62,right,7.15,14,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82738
VC0494,Haplospiza_unicolor,Thraupidae,Male,2010,1,DJF,60,right,,5.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98642
EH0577,Haplospiza_unicolor,Thraupidae,Female,2001,2,DJF,,,5.5,11,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43094
EC3964,Haplospiza_unicolor,Thraupidae,Male,2008,7,JJA,63.8,right,,18,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 88123
CB2707,Haplospiza_unicolor,Thraupidae,Male,2007,3,MAM,,,,16,C.Banks-Leite,Piedade,,-47.449187,-23.854583,946,,E57096
MV0575,Haplospiza_unicolor,Thraupidae,Male,2013,7,JJA,63,generic,7.2,16,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D128334
PC0699,Haplospiza_unicolor,Thraupidae,Male,2013,5,MAM,66,right,6.7,14.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82742
VC1992,Haplospiza_unicolor,Thraupidae,Female,2010,10,SON,,,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
EH1544,Haplospiza_unicolor,Thraupidae,Male,2001,12,DJF,,,5.7,16,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
EH0582,Haplospiza_unicolor,Thraupidae,Female,2001,3,MAM,,,6.3,16,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
MV0122,Haplospiza_unicolor,Thraupidae,Male,2010,8,JJA,66,generic,7,16,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,E147530
PA0746,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,65,right,,15,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,Yes,E69518
PA0824,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,60,right,,14,P.Antas,Itatinga,Fazenda Entrerrios,-48.46,-23.29,615,no,E72604
JN0210,Haplospiza_unicolor,Thraupidae,Male,2013,11,SON,66,generic,,15,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126335
EH0579,Haplospiza_unicolor,Thraupidae,Female,2001,3,MAM,,,6,14,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
VC0503,Haplospiza_unicolor,Thraupidae,Male,2010,1,DJF,64,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98628
PC0521,Haplospiza_unicolor,Thraupidae,Female,2013,2,DJF,60,right,6.75,17,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,Yes,D64450
EH0058,Haplospiza_unicolor,Thraupidae,Female,2000,1,DJF,,,5,15.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34273
EH0041,Haplospiza_unicolor,Thraupidae,Female,1999,12,DJF,,,,11,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33380
VC0528,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,57.4,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98644
MV0557,Haplospiza_unicolor,Thraupidae,Male,2013,5,MAM,60,generic,7.9,13,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,Yes,D128328
EH1549,Haplospiza_unicolor,Thraupidae,Male,2002,2,DJF,,,6.8,17,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
EC1536,Haplospiza_unicolor,Thraupidae,Female,2002,12,DJF,60.8,right,,17,E.Carrano,Araucária,Refinaria Presidente Getúlio Vargas,-49.356283,-25.583954,914,Yes,D 53735
VC1006,Haplospiza_unicolor,Thraupidae,Female,2010,5,MAM,64,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
EH0033,Haplospiza_unicolor,Thraupidae,Female,1999,10,SON,,,,14.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33358
VC0960,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,63,right,,23,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
EH0025,Haplospiza_unicolor,Thraupidae,Female,1999,8,JJA,,,,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33337
PA0516,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,64,right,,17,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54013
LI0394,Haplospiza_unicolor,Thraupidae,Female,2007,1,DJF,,,,16,I.de Faria,Taubaté,,-45.516696,-23.1,673,,
WS0014,Haplospiza_unicolor,Thraupidae,Male,2012,8,JJA,66,generic,,15,G.Wilrich;E.Silva,Anita Garibaldi,Vila Petri,-51.136167,-27.7955,657,,D124775
VC0909,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,67,right,,17,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
EH0020,Haplospiza_unicolor,Thraupidae,Female,1999,6,JJA,,,,15.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33322
EH0065,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,4.8,14,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34296
CF0821,Haplospiza_unicolor,Thraupidae,Male,2017,6,JJA,50.1,right,,13.4,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,D77045
EH0473,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,4.8,13.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33371
EH0063,Haplospiza_unicolor,Thraupidae,Female,2000,1,DJF,,,6,15.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34279
CB1982,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,14.5,C.Banks-Leite,Piedade,,-47.480381,-23.876407,926,,
PC0522,Haplospiza_unicolor,Thraupidae,Female,2013,2,DJF,63,right,6.85,14.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82712
EH1104,Haplospiza_unicolor,Thraupidae,Male,2001,1,DJF,,,6,13,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43083
WS0278,Haplospiza_unicolor,Thraupidae,Female,2013,3,MAM,53,generic,,23,G.Wilrich;E.Silva,Campo Belo do Sul,Gateados 2,-50.851889,-28.031444,831,,E133922
VC1991,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,66,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104748
VC0858,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,63,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
CB2059,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,16,C.Banks-Leite,Piedade,,-47.48322,-23.886254,910,,E69896
MA0833,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,68,right,5,17.5,M.Alves,Angra dos Reis,Parque Estadual da Ilha Grande,-44.202778,-23.175,170,Yes,D33485
CB2054,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,17.5,C.Banks-Leite,Piedade,,-47.460399,-23.88904,912,,E72891
VC0719,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,66,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
VC0531,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,57,right,,17,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98657
EH0461,Haplospiza_unicolor,Thraupidae,Male,1999,7,JJA,,,,12,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33323
EC4784,Haplospiza_unicolor,Thraupidae,Male,2011,4,MAM,63.2,right,,17,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 88182
EC3243,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,62,right,,,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 11824
AR0620,Haplospiza_unicolor,Thraupidae,Male,2001,6,JJA,64,right,7.3,17,A.Ross,Santo Amaro da Imperatriz,,-48.812205,-27.768275,448,no,D 50307
EH0072,Haplospiza_unicolor,Thraupidae,Female,1999,10,SON,,,,16.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,
JS0209,Haplospiza_unicolor,Thraupidae,Female,2013,4,MAM,60,generic,,16,J.Zocche,Siderópolis,Proximidades da Subestação Eletrosul,-49.403256,-28.600583,155,no,D126325
MV0232,Haplospiza_unicolor,Thraupidae,Male,2011,7,JJA,66,generic,8.7,15,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D109119
EH1115,Haplospiza_unicolor,Thraupidae,Male,2001,3,MAM,,,7.1,13,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
JN0053,Haplospiza_unicolor,Thraupidae,Female,2013,5,MAM,65,generic,,16.5,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126213
EC1836,Haplospiza_unicolor,Thraupidae,Female,2003,5,MAM,64.3,right,,14,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 56470
VC1926,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,69,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104724
CB1830,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,,C.Banks-Leite,Piedade,,-47.436016,-23.880844,914,,
EH0053,Haplospiza_unicolor,Thraupidae,Female,2000,3,MAM,,,7,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D44773
PA0537,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,62,right,,15.5,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54034
CB1633,Haplospiza_unicolor,Thraupidae,Female,2006,7,JJA,,,,14.5,C.Banks-Leite,Piedade,,-47.460382,-23.851281,972,,D86519
AR2993,Haplospiza_unicolor,Thraupidae,Female,2010,9,SON,64,right,,9,A.Ross,Itatiaia,Casa do Pesquisador Parque Nacional de Itatiaia,-44.607931,-22.452726,830,no,E73129
CF0822,Haplospiza_unicolor,Thraupidae,Male,2017,6,JJA,53,right,,15.2,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,D77047
PA0811,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,62,right,,14.5,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69580
VC1638,Haplospiza_unicolor,Thraupidae,Female,2010,10,SON,66,right,,,V.Cavarzere,Bofete,Fazenda Entre Rios,-48.433333,-23.266667,611,no,E104658
VC0815,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,62,right,,12.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
PA0726,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,64,right,,12.5,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E69498
CF0008,Haplospiza_unicolor,Thraupidae,Female,2017,6,JJA,44,right,,16.2,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,
CF0761,Haplospiza_unicolor,Thraupidae,Male,2017,1,DJF,52.5,right,,15.2,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,Yes,E168416
CF0781,Haplospiza_unicolor,Thraupidae,Male,2017,4,MAM,53,right,,15.7,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.162407,-29.472434,599,no,E177539
VC0899,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,65,right,,15.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
CB0831,Haplospiza_unicolor,Thraupidae,Female,2006,2,DJF,,,,14,C.Banks-Leite,Piedade,,-47.460382,-23.851281,972,,E67031
MV0598,Haplospiza_unicolor,Thraupidae,Male,2013,7,JJA,63,generic,7,15,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D128340
VC0884,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,67,right,,14,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
CB2040,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,14.5,C.Banks-Leite,Piedade,,-47.478972,-23.893093,912,,D86665
VC1014,Haplospiza_unicolor,Thraupidae,Female,2010,5,MAM,56,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
PA0810,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,63,right,,14.5,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69579
PC0441,Haplospiza_unicolor,Thraupidae,Male,2012,12,DJF,66,right,6.55,14.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D64434
CB1884,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,15.5,C.Banks-Leite,Piedade,,-47.475802,-23.851386,972,,E72764
EH0475,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5.2,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33378
VC0533,Haplospiza_unicolor,Thraupidae,Male,2010,1,DJF,61,right,,13,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98654
VC1947,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,,,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98667
PA1081,Haplospiza_unicolor,Thraupidae,Female,2006,5,MAM,64,right,,15,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,F03853
PA0802,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,66,right,,15,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69571
